Stock quote and option quote for MCD on 6/14/19 21:48:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
205.29,N,+.80,205.12,P,205.58,P,3 x 4,"2,715,937",204.00,205.805,203.78

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.26%,27.23,1.16,Q,5/31/19,206.39,153.13,"763,556,380",0.54

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,MCD190816C250,0,2,17.68%,.30368068,.004,.001,.011,-.002,.002,.03,E,.020,.03,0,31,0.35%,99.65%,0.70%,0.06%,124.35%,0,D,.04,H,16 AUG 19,250,43.70,E,45.70,B,MCD190816P250,0,0,--,<empty>,-1.000,.00,.00,.00,.00,50.90,W,44.700,50.90,2,21,100.00%,0.00%,0.00%,-0.03%,<empty>,,

20 SEP 19  (98)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,MCD190920C115,0,0,82.48%,94.56,.891,.00,.133,-.053,6.403,83.79,C,90.925,83.79,21,7,87.18%,12.82%,23.33%,1.14%,1.14%,88.65,B,93.20,Z,20 SEP 19,115,0,T,.16,M,MCD190920P115,0,169,45.18%,.52250262,-.005,.00,.015,-.003,-.003,.15,Q,.080,.15,0,30,0.95%,99.05%,1.83%,0.14%,<empty>,,
,,MCD190920C120,0,9,75.64%,89.37,.894,.00,.136,-.049,5.897,78.77,C,85.975,78.77,7,8,87.83%,12.17%,22.32%,1.23%,1.23%,83.75,Z,88.20,A,20 SEP 19,120,0,T,.15,P,MCD190920P120,0,127,41.81%,.49128051,-.005,.00,.015,-.003,-.003,.16,I,.075,.16,0,10,0.92%,99.08%,1.77%,0.13%,<empty>,,
,,MCD190920C125,0,0,70.09%,84.37,.896,.001,.139,-.047,5.320,0, ,81.125,0,9,8,88.04%,11.96%,22.07%,1.50%,1.50%,78.85,A,83.40,A,20 SEP 19,125,.01,N,.22,H,MCD190920P125,0,600,40.98%,.64899279,-.007,.00,.022,-.005,-.004,.14,N,.115,.14,9,15,1.33%,98.67%,2.56%,0.21%,<empty>,,
,,MCD190920C130,0,0,63.78%,79.08,.899,.001,.140,-.043,4.872,0, ,76.100,0,9,7,88.68%,11.32%,21.03%,1.46%,1.46%,73.90,A,78.30,Z,20 SEP 19,130,.05,B,.11,B,MCD190920P130,0,117,36.38%,.49708209,-.006,.00,.018,-.003,-.004,.16,M,.080,.16,8,9,1.02%,98.98%,1.99%,0.14%,<empty>,,
,,MCD190920C135,0,0,58.26%,73.90,.901,.001,.142,-.040,4.395,0, ,71.125,0,21,21,89.07%,10.93%,20.45%,1.50%,1.50%,70.70,B,71.55,B,20 SEP 19,135,.03,Z,.13,B,MCD190920P135,0,163,33.63%,.48540095,-.007,.001,.020,-.003,-.004,.11,M,.080,.11,1,8,1.05%,98.95%,2.05%,0.14%,<empty>,,
,,MCD190920C140,0,0,53.14%,68.73,.903,.001,.145,-.037,3.927,57.85,W,66.150,57.85,1,21,89.35%,10.65%,20.04%,1.55%,1.55%,64.05,H,68.25,B,20 SEP 19,140,.11,P,.14,M,MCD190920P140,1,120,32.83%,.64888432,-.010,.001,.029,-.005,-.006,.10,P,.125,.10,13,10,1.56%,98.44%,3.03%,0.22%,<empty>,,
