Stock quote and option quote for BP on 6/14/19 21:46:56

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
40.91,N,-.31,40.86,P,41.20,P,4 x 1,"4,560,294",40.87,40.97,40.76

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
6.01%,13.97,.615,Q,5/9/19,47.25,36.28,"3,391,322,800",0.64

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,

5 JUL 19  (21)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,BP190705C34,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,6.875,0,119,73,100.00%,0.00%,<empty>,-1.42%,0.00%,6.65,H,7.10,H,5 JUL 19,34,0,J,.08,M,BP190705P34,0,0,39.27%,.7300152,-.026,.015,.006,-.006,-.001,0, ,.040,0,0,375,3.23%,96.77%,6.29%,1.62%,<empty>,,
,,BP190705C35,0,0,39.02%,6.54,.949,.018,.009,-.007,.004,0, ,5.925,0,107,32,94.03%,5.97%,11.58%,0.61%,0.61%,5.80,H,6.05,A,5 JUL 19,35,0,J,.09,M,BP190705P35,0,0,34.71%,.71640421,-.032,.021,.007,-.006,-.001,0, ,.045,0,0,420,3.90%,96.10%,7.59%,1.83%,<empty>,,
,,BP190705C36,0,7,35.01%,5.57,.939,.033,.011,-.007,.007,6.10,A,4.950,6.10,67,12,92.20%,7.80%,15.14%,1.62%,1.62%,4.85,M,5.05,A,5 JUL 19,36,0,J,.11,M,BP190705P36,0,0,30.52%,.72207951,-.043,.030,.009,-.007,-.001,0, ,.055,0,0,450,5.06%,94.94%,9.84%,2.23%,<empty>,,
,,BP190705C37,0,0,33.82%,4.78,.897,.056,.017,-.011,.011,0, ,4.025,0,27,11,87.31%,12.69%,24.55%,4.67%,4.67%,3.95,B,4.10,H,5 JUL 19,37,.05,H,.07,H,BP190705P37,0,0,25.44%,.67764213,-.054,.043,.011,-.007,-.001,0, ,.060,0,16,21,6.16%,93.84%,11.98%,2.43%,<empty>,,
,,BP190705C38,0,18,24.30%,3.47,.906,.082,.016,-.007,.011,4.15,Z,2.975,4.15,124,24,87.89%,12.11%,23.45%,2.64%,2.64%,2.85,M,3.10,B,5 JUL 19,38,.09,H,.12,M,BP190705P38,0,5,22.81%,.79154875,-.096,.074,.017,-.009,-.002,.09,C,.105,.09,74,56,10.57%,89.43%,20.49%,4.26%,<empty>,,
,,BP190705C39,0,0,24.87%,2.85,.789,.124,.029,-.014,.014,0, ,2.150,0,41,11,76.29%,23.71%,45.66%,9.74%,9.74%,2.11,M,2.19,H,5 JUL 19,39,.18,H,.22,H,BP190705P39,0,36,20.53%,.96800549,-.176,.125,.026,-.013,-.004,.27,X,.200,.27,67,75,18.97%,81.03%,36.57%,8.12%,<empty>,,
,,BP190705C40,0,6,22.43%,2.09,.658,.169,.037,-.016,.013,1.62,Q,1.360,1.62,39,48,63.30%,36.70%,70.19%,18.26%,18.26%,1.34,C,1.38,X,5 JUL 19,40,.38,N,.42,B,BP190705P40,9,662,18.67%,1.24,-.320,.190,.036,-.016,-.008,.41,C,.400,.41,20,73,33.77%,66.23%,64.54%,16.23%,<empty>,,
,,BP190705C41,6,517,20.28%,1.43,.475,.198,.040,-.016,.011,.71,X,.725,.71,61,10,45.44%,54.56%,96.17%,29.42%,33.07%,.71,X,.74,N,5 JUL 19,41,.75,H,.78,N,BP190705P41,1,237,16.76%,1.60,-.533,.235,.040,-.017,-.014,.82,P,.765,.82,37,13,55.14%,44.86%,95.34%,27.39%,<empty>,,
,,BP190705C42,5,111,18.89%,.92895782,.276,.177,.034,-.013,.006,.32,C,.315,.32,89,13,26.13%,73.87%,54.72%,12.78%,57.02%,.30,X,.33,N,5 JUL 19,42,1.34,C,1.41,M,BP190705P42,0,10,15.10%,2.10,-.771,.198,.030,-.013,-.020,.54,I,1.375,.54,7,61,78.50%,21.50%,45.12%,11.57%,<empty>,,
,,BP190705C43,10,172,18.33%,.59705177,.128,.114,.021,-.008,.003,.13,X,.115,.13,94,117,11.89%,88.11%,24.70%,4.67%,89.48%,.10,H,.13,H,5 JUL 19,43,2.11,B,2.23,M,BP190705P43,0,2,0.04%,2.46,-1.000,.00,.897,.00,.00,1.30,E,2.170,1.30,26,94,100.00%,0.00%,0.00%,3.25%,<empty>,,
,,BP190705C44,0,145,19.02%,.42799041,.056,.059,.011,-.005,.001,.07,A,.045,.07,1,43,5.14%,94.86%,10.60%,1.83%,127.22%,.04,Q,.05,H,5 JUL 19,44,3.05,M,3.20,H,BP190705P44,0,0,0.04%,3.45,-1.000,.00,.883,.00,.00,0, ,3.125,0,24,36,100.00%,0.00%,0.00%,1.42%,<empty>,,
,,BP190705C45,0,1,22.91%,.47567439,.044,.040,.009,-.005,.001,.02,I,.040,.02,0,509,3.90%,96.10%,8.02%,1.62%,167.60%,0,J,.08,C,5 JUL 19,45,3.95,B,4.15,B,BP190705P45,0,0,--,<empty>,-1.000,.00,.870,.00,.00,0, ,4.050,0,76,23,100.00%,0.00%,0.00%,-1.62%,<empty>,,
,,BP190705C46,0,0,24.86%,.4276443,.027,.025,.006,-.003,.001,0, ,.025,0,0,264,2.33%,97.67%,4.79%,1.01%,207.57%,0,M,.05,C,5 JUL 19,46,5.00,B,5.20,M,BP190705P46,0,0,0.04%,5.44,-1.000,.00,.856,.00,.00,0, ,5.100,0,60,112,100.00%,0.00%,0.00%,0.41%,<empty>,,
,,BP190705C47,0,0,26.49%,.37823551,.016,.015,.004,-.002,.00,0, ,.015,0,0,43,1.38%,98.62%,2.83%,0.61%,247.75%,0,M,.03,W,5 JUL 19,47,6.00,H,6.20,B,BP190705P47,0,0,0.04%,6.44,-1.000,.00,.843,.00,.00,0, ,6.100,0,122,25,100.00%,0.00%,0.00%,0.41%,<empty>,,
,,BP190705C48,0,0,29.80%,.41531061,.015,.012,.004,-.003,.00,0, ,.015,0,0,206,1.21%,98.79%,2.48%,0.61%,288.33%,0,M,.03,C,5 JUL 19,48,7.00,B,7.20,H,BP190705P48,0,0,0.04%,7.43,-1.000,.00,.829,.00,.00,0, ,7.100,0,60,55,100.00%,0.00%,0.00%,0.41%,<empty>,,
,,BP190705C49,0,0,32.99%,.45055619,.013,.010,.003,-.003,.00,0, ,.015,0,0,207,1.08%,98.92%,2.21%,0.61%,328.91%,0,J,.03,C,5 JUL 19,49,7.95,B,8.30,B,BP190705P49,0,0,0.04%,8.42,-1.000,.00,.815,.00,.00,0, ,8.125,0,84,60,100.00%,0.00%,0.00%,1.42%,<empty>,,

12 JUL 19  (28)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,BP190712C34,0,0,50.04%,7.96,.912,.025,.017,-.013,.011,0, ,7.050,0,21,60,88.88%,11.12%,21.32%,4.31%,4.31%,6.85,A,7.25,B,12 JUL 19,34,0,J,.14,M,BP190712P34,0,0,37.74%,.72904745,-.039,.019,.010,-.007,-.001,0, ,.070,0,0,454,4.86%,95.14%,9.41%,2.16%,<empty>,,
,,BP190712C35,0,0,40.69%,6.69,.922,.030,.016,-.009,.011,0, ,6.000,0,10,8,89.93%,10.07%,19.40%,2.77%,2.77%,5.90,P,6.10,P,12 JUL 19,35,0,J,.15,X,BP190712P35,0,0,33.19%,.70729572,-.046,.025,.011,-.007,-.002,0, ,.075,0,0,553,5.59%,94.41%,10.83%,2.31%,<empty>,,
,,BP190712C36,0,0,36.16%,5.70,.907,.042,.018,-.009,.013,0, ,5.025,0,279,60,87.99%,12.01%,23.13%,3.54%,3.54%,4.90,M,5.15,B,12 JUL 19,36,.04,H,.17,C,BP190712P36,0,0,30.37%,.7835367,-.066,.037,.015,-.008,-.002,0, ,.105,0,25,221,7.83%,92.17%,15.15%,3.23%,<empty>,,
,,BP190712C37,0,0,31.39%,4.68,.884,.060,.022,-.010,.015,0, ,4.050,0,11,11,85.49%,14.51%,27.93%,4.31%,4.31%,4.00,H,4.10,H,12 JUL 19,37,.07,W,.11,M,BP190712P37,0,0,24.15%,.66121019,-.071,.049,.016,-.007,-.002,0, ,.090,0,38,61,8.10%,91.90%,15.66%,2.77%,<empty>,,
,,BP190712C38,0,0,29.01%,3.84,.827,.083,.029,-.012,.017,0, ,3.150,0,142,68,79.54%,20.46%,39.27%,7.39%,7.39%,3.05,C,3.25,B,12 JUL 19,38,.13,C,.17,M,BP190712P38,0,15,21.84%,.78940026,-.118,.078,.023,-.009,-.004,.17,I,.150,.17,99,46,13.15%,86.85%,25.31%,4.62%,<empty>,,
