Stock quote and option quote for PFE on 6/14/19 21:45:37

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
42.76,N,+.26,42.58,P,42.85,P,1 x 4,"12,521,887",42.52,42.87,42.48

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
3.37%,21.82,.36,Q,5/9/19,46.47,35.73,"5,559,929,200",0.74

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,PFE190719C46,0,118,15.22%,.3386276,.063,.061,.017,-.003,.003,.05,Z,.055,.05,182,101,5.76%,94.24%,11.75%,1.30%,78.18%,.05,H,.06,W,19 JUL 19,46,3.20,H,3.30,H,PFE190719P46,0,40,0.03%,3.36,-.997,.00,.00,-.001,-.045,3.17,X,3.250,3.17,146,189,100.00%,0.00%,0.00%,0.24%,<empty>,,
,,PFE190719C47,0,30,15.42%,.21405069,.025,.029,.008,-.002,.001,.03,Z,.020,.03,55,39,2.28%,97.72%,4.64%,0.47%,101.08%,.01,W,.03,Z,19 JUL 19,47,4.15,A,4.30,B,PFE190719P47,0,5,--,<empty>,-1.000,.00,.376,.00,.00,4.25,X,4.225,4.25,30,72,100.00%,0.00%,0.00%,-0.36%,<empty>,,
,,PFE190719C48,0,5,17.53%,.20763892,.018,.019,.006,-.001,.001,.01,C,.015,.01,0,290,1.59%,98.41%,3.23%,0.36%,124.68%,0,J,.03,W,19 JUL 19,48,5.15,D,5.35,B,PFE190719P48,0,0,0.03%,5.34,-.997,.00,.00,-.001,-.047,0, ,5.250,0,24,96,100.00%,0.00%,0.00%,0.24%,<empty>,,
,,PFE190719C49,0,0,20.12%,.22657829,.016,.015,.005,-.002,.001,0, ,.015,0,0,347,1.37%,98.63%,2.79%,0.36%,148.41%,0,J,.03,W,19 JUL 19,49,6.15,H,6.45,B,PFE190719P49,0,0,21.91%,6.64,-.972,.020,.008,-.003,-.047,0, ,6.300,0,80,96,97.89%,2.11%,4.31%,1.42%,<empty>,,
,,PFE190719C50,0,0,22.60%,.24363045,.014,.012,.005,-.002,.001,.01,W,.015,.01,0,495,1.20%,98.80%,2.45%,0.36%,172.14%,0,J,.03,X,19 JUL 19,50,7.15,H,7.40,B,PFE190719P50,0,0,19.41%,7.46,-.991,.006,.002,-.001,-.049,0, ,7.275,0,82,96,99.55%,0.45%,0.90%,0.83%,<empty>,,
,,PFE190719C55,0,0,32.30%,.25950982,.007,.005,.003,-.001,.00,0, ,.010,0,0,169,0.55%,99.45%,1.12%,0.24%,290.65%,0,J,.02,W,19 JUL 19,55,12.10,D,12.30,Z,PFE190719P55,0,0,--,<empty>,-1.000,.00,.199,.00,.00,0, ,12.200,0,24,3,100.00%,0.00%,0.00%,-0.95%,<empty>,,
,,PFE190719C60,0,0,41.80%,.30986872,.006,.003,.002,-.001,.00,0, ,.010,0,0,468,0.40%,99.60%,0.81%,0.24%,409.29%,0,J,.02,H,19 JUL 19,60,17.10,D,17.30,Z,PFE190719P60,0,0,--,<empty>,-1.000,.00,.088,.00,.00,0, ,17.200,0,24,3,100.00%,0.00%,0.00%,-0.95%,<empty>,,

26 JUL 19  (42)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,PFE190726C35.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,6.900,0,48,72,100.00%,0.00%,<empty>,-7.15%,0.00%,5.75,B,8.05,B,26 JUL 19,35.5,0,D,.17,X,PFE190726P35.5,0,0,32.30%,.55143303,-.042,.019,.013,-.005,-.002,0, ,.085,0,0,"1,089",5.35%,94.65%,10.41%,1.69%,<empty>,,
