Stock quote and option quote for GM on 6/14/19 21:48:00

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
35.66,N,-.36,35.53,P,35.76,P,4 x 7,"4,953,403",35.88,35.99,35.54

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.26%,5.669,.38,Q,6/6/19,45.00,30.56,"1,418,392,900",1.18

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM190920C27,0,33,46.49%,9.39,.888,.019,.032,-.006,.030,9.80,B,8.950,9.80,21,22,84.28%,15.72%,29.36%,3.00%,3.00%,8.80,X,9.10,X,20 SEP 19,27,.18,H,.19,H,GM190920P27,1,78,35.94%,.50546065,-.060,.018,.022,-.004,-.006,.19,X,.185,.19,59,40,8.63%,91.37%,16.37%,1.91%,<empty>,,
,,GM190920C28,0,55,43.74%,8.48,.872,.024,.036,-.007,.034,7.93,C,8.025,7.93,21,48,82.23%,17.77%,33.20%,3.78%,3.78%,7.95,X,8.10,B,20 SEP 19,28,.23,C,.25,H,GM190920P28,2,942,34.25%,.59836215,-.078,.023,.027,-.005,-.008,.24,H,.240,.24,144,51,10.81%,89.19%,20.50%,2.48%,<empty>,,
,,GM190920C29,0,0,40.82%,7.57,.853,.030,.040,-.007,.038,0, ,7.100,0,55,62,79.98%,20.02%,37.43%,4.55%,4.55%,7.05,W,7.15,X,20 SEP 19,29,.31,H,.33,H,GM190920P29,1,"1,623",32.85%,.72425233,-.102,.029,.033,-.006,-.011,.33,C,.320,.33,40,67,13.76%,86.24%,26.03%,3.31%,<empty>,,
,,GM190920C30,0,177,38.26%,6.69,.827,.036,.045,-.007,.042,5.25,C,6.200,5.25,36,453,77.05%,22.95%,42.89%,5.59%,5.59%,6.15,W,6.25,C,20 SEP 19,30,.42,H,.43,H,GM190920P30,30,"7,730",31.50%,.87587476,-.134,.037,.040,-.007,-.014,.42,B,.425,.42,23,23,17.40%,82.60%,32.85%,4.40%,<empty>,,
,,GM190920C31,0,71,35.37%,5.79,.796,.044,.051,-.008,.045,5.27,C,5.300,5.27,475,67,73.85%,26.15%,48.87%,6.62%,6.62%,5.25,C,5.35,I,20 SEP 19,31,.55,H,.57,H,GM190920P31,2,870,30.14%,1.06,-.173,.045,.047,-.007,-.018,.57,X,.560,.57,67,21,21.80%,78.20%,41.05%,5.79%,<empty>,,
,,GM190920C32,0,163,33.03%,4.96,.755,.053,.057,-.008,.047,4.92,C,4.450,4.92,393,4,69.57%,30.43%,56.80%,8.17%,8.17%,4.40,C,4.50,W,20 SEP 19,32,.73,M,.75,N,GM190920P32,3,"3,922",28.92%,1.28,-.222,.055,.055,-.008,-.023,.73,M,.740,.73,62,10,27.17%,72.83%,51.00%,7.66%,<empty>,,
,,GM190920C33,0,632,31.75%,4.24,.699,.061,.063,-.009,.047,3.75,M,3.700,3.75,476,595,63.81%,36.19%,67.33%,10.76%,10.76%,3.65,C,3.75,C,20 SEP 19,33,.97,P,.99,I,GM190920P33,2,"6,140",27.88%,1.56,-.281,.065,.062,-.009,-.030,.99,C,.980,.99,27,23,33.58%,66.42%,62.79%,10.14%,<empty>,,
,,GM190920C34,0,425,30.04%,3.52,.636,.069,.069,-.009,.046,3.06,C,2.975,3.06,11,11,57.60%,42.40%,78.61%,13.60%,13.60%,2.96,H,2.99,H,20 SEP 19,34,1.28,H,1.30,I,GM190920P34,23,"2,850",26.97%,1.90,-.351,.074,.068,-.010,-.037,1.27,I,1.290,1.27,24,31,40.89%,59.11%,76.09%,13.35%,<empty>,,
,,GM190920C35,13,959,28.68%,2.89,.564,.075,.072,-.009,.043,2.40,B,2.335,2.40,36,31,50.56%,49.44%,91.25%,17.33%,17.33%,2.32,H,2.35,H,20 SEP 19,35,1.67,P,1.69,I,GM190920P35,464,"8,053",26.18%,2.30,-.429,.080,.072,-.010,-.046,1.66,N,1.680,1.66,23,33,48.85%,51.15%,90.37%,17.38%,<empty>,,
,,GM190920C36,25,"13,688",27.50%,2.32,.485,.079,.073,-.009,.039,1.81,C,1.780,1.81,65,11,43.02%,56.98%,94.00%,18.42%,21.93%,1.77,H,1.79,H,20 SEP 19,36,2.14,P,2.16,I,GM190920P36,33,"4,830",25.41%,2.77,-.513,.083,.073,-.010,-.055,2.17,N,2.150,2.17,23,31,57.11%,42.89%,93.53%,18.73%,<empty>,,
,,GM190920C37,10,"1,764",26.57%,1.84,.404,.079,.071,-.009,.034,1.32,Q,1.320,1.32,111,15,35.37%,64.63%,76.63%,13.66%,27.52%,1.31,M,1.33,N,20 SEP 19,37,2.69,H,2.71,N,GM190920P37,62,"3,903",24.60%,3.30,-.598,.083,.071,-.010,-.065,2.65,C,2.700,2.65,86,7,65.35%,34.65%,74.91%,14.07%,<empty>,,
,,GM190920C38,"2,120","2,291",25.80%,1.43,.325,.075,.066,-.008,.028,.97,I,.950,.97,1,24,28.06%,71.94%,60.34%,9.83%,34.04%,.94,N,.96,H,20 SEP 19,38,3.30,C,3.40,C,GM190920P38,11,750,24.03%,3.91,-.680,.078,.065,-.009,-.075,3.27,X,3.350,3.27,"1,126",454,73.04%,26.96%,57.83%,10.45%,<empty>,,
