Stock quote and option quote for AIG on 6/14/19 21:44:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.31,N,+.11,51.00,P,53.49,P,2 x 3,"3,206,876",53.27,53.43,52.85

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.40%,-183.8,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.83

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG200117C72.5,0,"1,930",20.34%,.19476591,.029,.008,.028,-.001,.009,.10,Q,.090,.10,0,30,2.06%,97.94%,4.26%,0.28%,60.59%,0,J,.18,X,17 JAN 20,72.5,18.55,B,21.30,Z,AIG200117P72.5,0,0,33.19%,20.36,-.852,.016,.089,-.006,-.738,35.10,C,19.925,35.10,36,3,90.84%,9.16%,19.59%,2.31%,<empty>,,
,,AIG200117C75,0,202,22.33%,.20770943,.028,.007,.027,-.001,.008,.05,P,.095,.05,20,40,1.92%,98.08%,3.98%,0.30%,68.47%,.06,X,.13,M,17 JAN 20,75,21.20,B,24.10,H,AIG200117P75,0,0,38.41%,23.19,-.833,.014,.096,-.008,-.882,34.00,A,22.650,34.00,36,20,90.35%,9.65%,20.87%,3.02%,<empty>,,
,,AIG200117C80,0,116,23.76%,.13660872,.017,.004,.017,-.001,.005,.10,N,.055,.10,0,45,1.05%,98.95%,2.18%,0.17%,84.05%,0,H,.11,X,17 JAN 20,80,26.30,B,27.70,T,AIG200117P80,0,0,35.42%,27.33,-.899,.009,.061,-.004,-1.561,0, ,27.000,0,36,10,94.78%,5.22%,11.14%,0.97%,<empty>,,
,,AIG200117C85,0,179,30.92%,.32382157,.033,.006,.030,-.002,.009,.16,H,.150,.16,0,38,1.89%,98.11%,3.97%,0.47%,100.07%,0,J,.30,Q,17 JAN 20,85,31.15,B,32.80,T,AIG200117P85,0,0,40.25%,32.35,-.891,.007,.062,-.005,-2.082,0, ,31.975,0,36,10,95.14%,4.86%,10.44%,0.90%,<empty>,,
,,AIG200117C90,0,481,30.64%,.18618805,.018,.003,.018,-.001,.005,.09,Z,.075,.09,0,100,0.98%,99.02%,2.04%,0.24%,115.54%,0,A,.15,P,17 JAN 20,90,34.20,X,39.00,D,AIG200117P90,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,36.600,0,10,30,100.00%,0.00%,0.00%,-0.28%,<empty>,,
,,AIG200117C95,0,2,39.86%,.51808121,.042,.005,.037,-.003,.012,.09,N,.250,.09,0,46,2.10%,97.90%,4.48%,0.79%,131.81%,0,H,.50,M,17 JAN 20,95,39.20,X,44.00,D,AIG200117P95,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,41.600,0,10,30,100.00%,0.00%,0.00%,-0.28%,<empty>,,
,,AIG200117C100,0,361,42.74%,.53595485,.040,.005,.036,-.003,.011,.05,Z,.255,.05,0,2,1.91%,98.09%,4.08%,0.80%,147.54%,0,A,.51,N,17 JAN 20,100,44.20,X,49.00,D,AIG200117P100,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,46.600,0,10,30,100.00%,0.00%,0.00%,-0.28%,<empty>,,

19 JUN 20  (371)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG200619C25,0,0,63.41%,28.82,.875,.002,.064,-.005,.047,0, ,28.500,0,38,38,80.54%,19.46%,33.63%,0.35%,0.35%,26.00,B,31.00,B,19 JUN 20,25,.04,M,.50,X,AIG200619P25,0,0,43.60%,.40894546,-.026,.003,.032,-.002,-.016,0, ,.270,0,45,207,6.71%,93.29%,12.31%,0.50%,<empty>,,
