Quote on 6/15/19 12:02:59

0 - Optionable
Symbol,Volume,Open.Int,Impl Vol,Theo Price,Last Size,Last,%Change,Bid,Ask,Size,Open,High,Low,Delta,Gamma,Vega,Theta,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,ROR,ROC,% Out Of The Money,Mark % of underlying value,Mark %Change,Yield,Front Expected Move,Front Vol,Back Expected Move,Back Vol,Expected Move Diff,Market Maker Move,Weighted Back Vol,Call Sizzle Index,P/C Ratio,Put Sizzle Index,Vol Index,Vol Diff,Sizzle Index,HTB/ETB,Description,Sector,Industry,Shares,Sub-Industry
VER,"15,478,276",0,20.22%,9.53,"1,569,345",9.53,+0.32%,9.20,9.64,8 x 3,9.50,9.635,9.455,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,5.77%,±0.205,19.66%,±0.479,20.33%,±0.432,<empty>,20.49%,0.261,1.045,1.412,20.22%,-0.67%,0.448,,VEREIT INC COM,Real Estate,Equity Real Estate Investment Trusts (REITs),"973,307,070",Diversified REITs
INTC,"15,381,077",0,27.52%,46.19,"1,513,717",46.19,-1.09%,46.13,46.27,7 x 5,45.83,46.42,45.5459,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,2.73%,±1.443,28.48%,±2.061,28.64%,±1.47,<empty>,28.80%,0.639,1.126,0.863,27.52%,-0.16%,0.741,,INTEL CORP COM,Information Technology,Semiconductors & Semiconductor Equipment,"4,477,000,000",Semiconductors
BABA,"14,981,551",0,33.95%,158.10,"1,747,002",158.10,-1.39%,157.90,158.34,1 x 3,158.37,158.71,157.23,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±6.295,36.30%,±8.939,36.27%,±6.336,±0.36,36.24%,0.444,0.739,0.487,33.95%,0.03%,0.461,,ALIBABA GROUP HOLDING LTD ADR,Consumer Discretionary,Internet & Direct Marketing Retail,"2,587,059,600",Internet & Direct Marketing Retail
BYND,"14,964,553",0,114.98%,151.71,"108,265",151.48,+7.14%,151.71,152.00,19 x 4,142.01,157.90,141.80,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.15%,<empty>,±22.027,131.24%,±30.371,126.24%,±20.464,±8.404,121.12%,0.692,0.762,0.615,114.98%,5.00%,0.657,,BEYOND MEAT INC COM,Consumer Staples,Food Products,"60,122,797",Packaged Foods & Meats
GOLD,"14,864,982",0,31.82%,13.91,"310,528",13.90,+0.29%,13.91,13.95,1 x 2,14.01,14.07,13.75,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.07%,1.15%,±0.512,33.60%,±0.423,27.76%,<empty>,±0.212,<empty>,1.455,0.303,1.543,31.82%,5.84%,1.474,,BARRICK GOLD CORPORATION COM,Materials,Metals & Mining,"1,751,981,800",Gold
ZNGA,"14,668,866",0,40.48%,6.19,"506,390",6.20,-0.48%,6.15,6.19,3 x 27,6.24,6.25,6.06,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.16%,<empty>,±0.328,48.26%,±0.389,40.19%,±0.207,±0.256,30.21%,0.704,0.162,0.51,40.48%,8.07%,0.668,,ZYNGA INC COM CL A,Communication Services,Entertainment,"935,282,780",Interactive Home Entertainment
FCX,"14,385,734",0,44.45%,10.66,"810,925",10.65,-1.66%,10.66,10.70,62 x 10,10.75,10.84,10.595,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.09%,1.88%,±0.541,46.32%,±0.714,42.97%,±0.464,±0.284,39.40%,0.656,0.308,0.419,44.45%,3.35%,0.579,,FREEPORT-MCMORAN INC COM CL B,Materials,Metals & Mining,"1,450,634,600",Copper
SCHW,"14,013,632",0,32.35%,41.04,"986,923",41.01,-3.19%,41.04,41.87,1 x 1,42.33,42.46,40.62,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.07%,1.66%,±1.455,32.35%,±2.196,34.36%,±1.643,<empty>,36.23%,2.016,1.402,1.896,32.35%,-2.01%,1.944,,SCHWAB(CHARLES)CORP COM,Financials,Capital Markets,"1,335,009,400",Investment Banking & Brokerage
AMCR,"12,995,016",0,38.42%,10.93,"886,611",10.93,-0.82%,10.92,10.93,33 x 723,11.00,11.04,10.85,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.721,60.08%,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,38.42%,<empty>,<empty>,,AMCOR PLC COM,,,"1,623,529,600",
ORCL,"12,973,055",0,30.65%,53.28,"1,300,619",53.28,-1.04%,53.00,53.40,1 x 10,53.61,53.83,53.28,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.80%,±2.765,47.28%,±3.06,36.84%,±1.308,±2.44,22.20%,1.069,1.131,1.237,30.65%,10.44%,1.152,,ORACLE CORP COM,Information Technology,Software,"3,417,654,000",Systems Software
